,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
531,1677886643.599929,11.298070104921388,-7.671685115201234,0.0,0.0,-0.7840906640045823,0.6206463007388775,0.018655209289434538,0.028695869181170508,0.0034630603435548612
532,1677886644.205084,11.399898694479681,-7.192912429835135,0.0,0.0,-0.8089283635191931,0.5879072228627236,0.019656775377427493,0.02591102115172106,0.0033989322428746318
533,1677886644.810243,11.529433143575126,-6.72486110670966,0.0,0.0,-0.828010209445084,0.5607130220127834,0.019897906198934834,0.022472843253126484,0.0035214836404189186
534,1677886645.516257,11.773545612119534,-6.214321575246277,0.0,0.0,-0.8151636260555521,0.5792307508721924,0.019316286381013015,0.02094291817078897,0.004264740218121187
535,1677886646.121411,11.941145063768808,-5.762684969899504,0.0,0.0,-0.7905894447376817,0.6123465765964272,0.018187795637516047,0.0186785370872542,0.004052456639953397
536,1677886646.726571,12.062490277091973,-5.300196164620109,0.0,0.0,-0.7486465219843643,0.6629693696700586,0.01753549797072651,0.0184150340376128,0.004334562036704985
537,1677886647.331725,12.154919317566222,-4.838527295466433,0.0,0.0,-0.748355235198796,0.6632981546413007,0.01862145373101498,0.016288681749202283,0.00437268063854467
538,1677886647.936885,12.24115361431878,-4.3815574630085115,0.0,0.0,-0.7626278999130099,0.6468374496535216,0.02151022537816516,0.01653404402083325,0.0047143387333835945
539,1677886648.542039,12.259548606584152,-3.8844292385408172,0.0,0.0,-0.7479983493802155,0.6637005871057168,0.024187660287367407,0.014496336384436148,0.004659647500323069
540,1677886649.147192,12.261283261996898,-3.326663618299538,0.0,0.0,-0.7239133901347892,0.6898908635310055,0.027919482085820846,0.013345712082390548,0.00478332182826647
541,1677886649.752352,12.259296584565348,-2.7797644341952665,0.0,0.0,-0.7567320333541648,0.6537251943253153,0.03392207307965123,0.01215329795073572,0.005024407549739019
542,1677886650.357507,12.300126786051568,-2.262070588957987,0.0,0.0,-0.8651262400256108,0.501554173364303,0.037076502122687316,0.014357708285294812,0.006948243432393539
