stamp, x, y, theta
 1.67789e+09,16.7061, -0.862964, 3.01053
 1.67789e+09,16.2294, -0.820211, 3.03553
 1.67789e+09,15.7584, -0.785273, 3.03179
 1.67789e+09,15.2862, -0.739477, 3.05087
 1.67789e+09,14.7921, -0.70108, 3.1205
 1.67789e+09,14.2558, -0.747404, 0.115593
 1.67789e+09,13.7109, -0.94933, 0.453328
 1.67789e+09,13.1919, -1.34668, 0.992198
 1.67789e+09,12.8952, -1.78836, 1.35811
 1.67789e+09,12.6673, -2.34397, 1.44267
 1.67789e+09,12.5082, -2.92154, 1.4268
 1.67789e+09,12.4293, -3.44373, 1.36663
 1.67789e+09,12.2946, -3.96691, 1.36567
 1.67789e+09,12.1272, -4.52707, 1.30047
 1.67789e+09,11.9909, -5.136, 1.3393
 1.67789e+09,11.8626, -5.58353, 1.31063
 1.67789e+09,11.5961, -6.0844, 1.28524
 1.67789e+09,11.4465, -6.61975, 1.36732
 1.67789e+09,11.3277, -7.0771, 1.41221
 1.67789e+09,11.2924, -7.60762, 1.43982
 1.67789e+09,11.2193, -8.0932, 1.53239
 1.67789e+09,11.3135, -8.60796, 1.54915
 1.67789e+09,11.165, -9.06618, 1.58791
 1.67789e+09,11.2082, -9.55731, 1.6027
 1.67789e+09,11.1149, -10.0773, 1.58195
 1.67789e+09,11.0765, -10.5685, 1.58353
 1.67789e+09,11.024, -11.095, 1.57466
 1.67789e+09,10.9636, -11.5832, 1.56875
 1.67789e+09,10.9423, -12.0812, 1.59892
 1.67789e+09,10.8839, -12.5592, 1.56752
 1.67789e+09,10.8597, -13.0752, 1.56743
 1.67789e+09,10.8307, -13.5768, 1.55618
 1.67789e+09,10.8213, -14.0451, 1.61416
 1.67789e+09,10.8352, -14.5542, 1.64935
 1.67789e+09,10.8254, -15.0938, 1.60054
 1.67789e+09,10.7999, -15.5651, 1.57156
 1.67789e+09,10.7578, -16.0224, 1.56867
 1.67789e+09,10.7123, -16.5046, 1.58284
 1.67789e+09,10.6599, -16.9543, 1.54795
 1.67789e+09,10.5967, -17.4185, 1.52515
 1.67789e+09,10.5555, -17.8702, 1.53954
 1.67789e+09,10.51, -18.3425, 1.60782
 1.67789e+09,10.4806, -18.7741, 1.64142
 1.67789e+09,10.4575, -19.2312, 1.58166
 1.67789e+09,10.4239, -19.677, 1.54106
 1.67789e+09,10.3419, -20.1791, 1.5331
 1.67789e+09,10.3798, -20.6889, 1.72085
 1.67789e+09,10.7931, -21.0621, 2.18746
 1.67789e+09,11.3322, -21.3245, 2.58301
 1.67789e+09,11.8469, -21.4076, 2.88662
 1.67789e+09,12.3095, -21.433, 3.01641
 1.67789e+09,12.7764, -21.4426, 3.13986
 1.67789e+09,13.2177, -21.4499, 0.010906
 1.67789e+09,13.7033, -21.4835, 0.0304581
 1.67789e+09,14.2177, -21.4794, 0.0317516
 1.67789e+09,14.7225, -21.5102, 3.10631
 1.67789e+09,15.2324, -21.5358, 3.1013
 1.67789e+09,15.7317, -21.5409, 0.00648538
 1.67789e+09,16.2809, -21.5513, 3.06314
 1.67789e+09,16.7458, -21.5596, 3.05608
 1.67789e+09,17.221, -21.6284, 2.99172
 1.67789e+09,17.7658, -21.6874, 3.02971
 1.67789e+09,18.2175, -21.7694, 3.02938
 1.67789e+09,18.6546, -21.8009, 3.06045
 1.67789e+09,19.1257, -21.8524, 3.06981
 1.67789e+09,19.6341, -21.8909, 3.05333
 1.67789e+09,20.1951, -21.9384, 2.99085
 1.67789e+09,19.7485, -21.8989, 3.01596
 1.67789e+09,19.2651, -21.8513, 3.02326
 1.67789e+09,18.8588, -21.8112, 3.02594
 1.67789e+09,18.4507, -21.7732, 3.02361
 1.67789e+09,18.031, -21.7654, 2.98014
 1.67789e+09,17.4493, -21.6808, 2.9985
 1.67789e+09,17.0364, -21.6179, 2.96555
 1.67789e+09,16.5952, -21.4988, 2.94194
 1.67789e+09,16.1857, -21.4592, 2.93088
 1.67789e+09,15.6609, -21.3463, 2.9758
 1.67789e+09,15.1838, -21.237, 3.01554
 1.67789e+09,14.7014, -21.2083, 3.04433
 1.67789e+09,14.1991, -21.2247, 3.04287
 1.67789e+09,13.723, -21.2204, 3.06186
 1.67789e+09,13.2257, -21.2027, 2.97619
 1.67789e+09,12.6862, -21.1579, 2.98428
 1.67789e+09,12.1727, -21.1201, 2.9825
 1.67789e+09,11.6843, -21.0934, 2.91152
 1.67789e+09,11.2217, -21.08, 2.68509
 1.67789e+09,10.7976, -21.0612, 2.24584
 1.67789e+09,10.3004, -21.0651, 1.76799
 1.67789e+09,10.0228, -21.2167, 1.44074
 1.67789e+09,9.78612, -21.302, 1.08435
 1.67789e+09,9.55083, -21.2939, 0.661115
 1.67789e+09,9.3122, -21.3036, 0.349235
 1.67789e+09,8.73603, -21.0337, 3.10429
 1.67789e+09,8.26019, -20.7059, 2.97549
 1.67789e+09,7.88266, -20.6021, 2.93895
 1.67789e+09,7.36117, -20.5103, 2.9313
 1.67789e+09,6.87328, -20.4457, 2.95874
 1.67789e+09,6.4475, -20.3959, 3.03342
 1.67789e+09,5.34532, -20.2427, 3.04983
 1.67789e+09,4.83224, -20.2019, 0.00235392
 1.67789e+09,4.32532, -20.1958, 0.150343
 1.67789e+09,3.73961, -20.2899, 0.324288
 1.67789e+09,3.20292, -20.4235, 0.521671
 1.67789e+09,2.56979, -20.7848, 0.853456
 1.67789e+09,1.90055, -21.2791, 1.19951
 1.67789e+09,1.57939, -21.718, 1.34515
 1.67789e+09,1.38083, -22.1919, 1.42755
 1.67789e+09,1.30114, -22.6798, 1.45557
 1.67789e+09,1.23968, -23.1588, 1.47593
 1.67789e+09,1.18947, -23.6557, 1.54404
 1.67789e+09,1.16907, -24.1227, 1.54225
 1.67789e+09,1.1697, -24.6183, 1.55312
 1.67789e+09,1.15318, -25.1187, 1.51012
 1.67789e+09,1.1752, -25.6226, 1.50957
 1.67789e+09,1.21525, -26.1119, 1.59038
 1.67789e+09,1.26684, -26.5896, 1.78676
 1.67789e+09,1.4051, -27.1637, 2.17185
 1.67789e+09,1.62975, -27.7351, 2.47577
 1.67789e+09,2.07831, -28.1866, 2.72327
 1.67789e+09,2.56438, -28.4412, 2.89715
 1.67789e+09,3.08668, -28.6206, 2.9336
 1.67789e+09,3.67473, -28.6604, 3.02449
 1.67789e+09,4.16792, -28.6644, 3.06535
 1.67789e+09,4.6848, -28.6506, 0.0124675
 1.67789e+09,5.21262, -28.6489, 3.13352
 1.67789e+09,5.70529, -28.6703, 3.13357
 1.67789e+09,6.22546, -28.6973, 3.09055
 1.67789e+09,6.74027, -28.7336, 3.08056
 1.67789e+09,7.28295, -28.779, 3.08446
 1.67789e+09,7.81668, -28.8173, 3.07408
 1.67789e+09,8.36538, -28.868, 3.05492
 1.67789e+09,8.94388, -28.9227, 3.0586
 1.67789e+09,9.49333, -28.9898, 3.04365
 1.67789e+09,10.0076, -29.055, 3.04341
 1.67789e+09,10.5355, -29.1242, 3.05558
 1.67789e+09,11.0669, -29.2021, 3.0404
 1.67789e+09,11.5683, -29.2555, 3.03825
 1.67789e+09,12.1066, -29.3148, 3.03949
 1.67789e+09,12.6242, -29.3314, 3.01405
 1.67789e+09,13.1406, -29.3553, 3.0156
 1.67789e+09,13.6321, -29.398, 3.04276
 1.67789e+09,14.179, -29.4433, 3.06032
 1.67789e+09,14.7083, -29.4801, 3.05499
 1.67789e+09,15.1255, -29.5188, 3.05452
 1.67789e+09,15.6514, -29.5711, 3.05061
 1.67789e+09,16.2159, -29.6345, 3.05107
 1.67789e+09,16.7566, -29.6784, 3.03394
 1.67789e+09,17.2276, -29.732, 3.00055
 1.67789e+09,17.7243, -29.777, 3.00149
 1.67789e+09,18.1751, -29.8224, 3.00372
 1.67789e+09,18.6551, -29.8626, 2.9974
 1.67789e+09,18.2019, -29.8187, 2.9663
 1.67789e+09,17.7157, -29.7791, 3.00217
 1.67789e+09,17.1669, -29.7371, 2.99238
 1.67789e+09,16.6684, -29.7049, 2.97357
 1.67789e+09,16.2487, -29.6714, 2.9568
 1.67789e+09,15.7567, -29.6144, 2.97874
 1.67789e+09,15.3151, -29.5587, 2.98116
 1.67789e+09,14.8826, -29.4914, 3.01531
 1.67789e+09,14.4653, -29.4468, 3.01968
 1.67789e+09,14.0499, -29.3988, 3.03738
 1.67789e+09,13.6056, -29.3408, 3.06665
 1.67789e+09,13.1511, -29.2897, 3.07249
 1.67789e+09,12.7285, -29.231, 3.04712
 1.67789e+09,12.3099, -29.2006, 3.02238
 1.67789e+09,11.8897, -29.1753, 3.02595
 1.67789e+09,11.4546, -29.1552, 3.02876
 1.67789e+09,10.9406, -29.1418, 3.02625
 1.67789e+09,10.4816, -29.1201, 3.03853
 1.67789e+09,10.058, -29.096, 3.06751
 1.67789e+09,9.54266, -29.047, 3.09359
 1.67789e+09,9.12633, -29.0304, 3.0515
 1.67789e+09,8.68999, -29.0089, 3.00063
 1.67789e+09,8.24069, -28.9409, 2.99239
 1.67789e+09,7.74462, -28.8625, 2.99847
 1.67789e+09,7.2628, -28.8017, 3.03084
 1.67789e+09,6.86937, -28.7621, 3.04741
 1.67789e+09,6.35722, -28.7032, 3.04158
 1.67789e+09,5.93972, -28.6812, 2.98582
 1.67789e+09,5.48504, -28.6337, 2.97057
 1.67789e+09,5.04717, -28.5603, 2.93617
 1.67789e+09,4.56856, -28.4761, 2.92631
 1.67789e+09,4.14382, -28.4052, 3.01642
 1.67789e+09,3.70804, -28.351, 3.02312
 1.67789e+09,3.266, -28.3008, 3.04235
 1.67789e+09,2.63182, -28.2809, 2.67089
 1.67789e+09,2.14231, -28.1279, 2.21417
 1.67789e+09,1.69032, -27.7143, 1.75906
 1.67789e+09,1.41076, -27.249, 1.53611
 1.67789e+09,1.32489, -26.7282, 1.4792
 1.67789e+09,1.34715, -26.2381, 1.50088
 1.67789e+09,1.3519, -25.7184, 1.5112
 1.67789e+09,1.37275, -25.2272, 1.52551
 1.67789e+09,1.40999, -24.8495, 1.48469
 1.67789e+09,1.43012, -24.3016, 1.42137
 1.67789e+09,1.48052, -23.8313, 1.38852
 1.67789e+09,1.56597, -23.2642, 1.46244
 1.67789e+09,1.65241, -22.722, 1.45108
 1.67789e+09,1.73819, -22.211, 1.2356
 1.67789e+09,1.88581, -21.7341, 0.974254
 1.67789e+09,2.10728, -21.301, 0.618282
 1.67789e+09,2.48828, -20.9538, 0.350284
 1.67789e+09,2.96773, -20.6562, 0.113134
 1.67789e+09,3.47281, -20.5178, 0.0744309
 1.67789e+09,3.99801, -20.4462, 0.110484
 1.67789e+09,4.4703, -20.4475, 0.0635421
 1.67789e+09,5.03832, -20.4461, 3.09964
 1.67789e+09,5.58704, -20.5181, 3.06818
 1.67789e+09,6.1291, -20.5691, 3.00033
 1.67789e+09,6.67231, -20.6073, 3.05273
 1.67789e+09,7.22182, -20.6241, 3.08873
 1.67789e+09,7.71172, -20.6937, 0.0222256
 1.67789e+09,8.26619, -20.7596, 0.195801
